"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","pres","hr","stdvv","ts","pres_nmar","tamin","ta","tamax","tpr","stddv","inso"
"6155A",-4.482358,"2020-09-27T10:00:00",0,5,15.4,10.2,280,36.6662,280,"MÁLAGA/AEROPUERTO",1012.9,44,1,25.6,1013.7,22.9,24.5,24.8,11.4,5,60
"6155A",-4.482358,"2020-09-27T11:00:00",0,5,13.9,8.5,270,36.6662,280,"MÁLAGA/AEROPUERTO",1012.5,41,0.8,27.9,1013.3,24.7,26,26.2,11.7,4,60
"6155A",-4.482358,"2020-09-27T12:00:00",0,5,12.4,6.2,270,36.6662,270,"MÁLAGA/AEROPUERTO",1012,37,0.8,30.5,1012.8,26,27.5,27.6,11.6,7,60
"6155A",-4.482358,"2020-09-27T13:00:00",0,5,8.2,3.5,250,36.6662,280,"MÁLAGA/AEROPUERTO",1011.5,33,0.9,33.6,1012.3,27.6,29.1,29.5,11.2,14,60
"6155A",-4.482358,"2020-09-27T14:00:00",0,5,5.7,3.6,220,36.6662,230,"MÁLAGA/AEROPUERTO",1010.8,31,0.6,35.9,1011.6,29,30,30.1,11,16,60
"6155A",-4.482358,"2020-09-27T15:00:00",0,5,9.8,5.9,160,36.6662,140,"MÁLAGA/AEROPUERTO",1010.6,31,0.6,33.2,1011.4,28.7,28.9,30.3,10,7,60
"6155A",-4.482358,"2020-09-27T16:00:00",0,5,8.2,4.8,140,36.6662,160,"MÁLAGA/AEROPUERTO",1010.9,30,0.7,31.3,1011.7,28.2,28.4,28.9,9.2,7,60
"6155A",-4.482358,"2020-09-27T17:00:00",0,5,6.7,3.4,140,36.6662,120,"MÁLAGA/AEROPUERTO",1011.3,32,0.3,28.8,1012.1,27.6,27.7,28.3,9.6,10,60
"6155A",-4.482358,"2020-09-27T18:00:00",0,5,4.6,2.4,120,36.6662,160,"MÁLAGA/AEROPUERTO",1011.8,42,0.3,24.9,1012.6,25.5,26,27.7,12.1,14,42
"6155A",-4.482358,"2020-09-27T19:00:00",0,5,6.2,3.9,60,36.6662,60,"MÁLAGA/AEROPUERTO",1012.3,75,0.5,21.2,1013.1,20.7,20.8,25.3,16.2,4,0
"6155A",-4.482358,"2020-09-27T20:00:00",0,5,5.1,1.3,150,36.6662,70,"MÁLAGA/AEROPUERTO",1013.1,77,0.3,20,1013.9,20.1,20.1,20.6,16,9,0
"6155A",-4.482358,"2020-09-27T21:00:00",0,5,2.6,0,0,36.6662,160,"MÁLAGA/AEROPUERTO",1013.6,81,0,18.2,1014.4,19.3,19.4,20.1,16,0,0
"6155A",-4.482358,"2020-09-27T22:00:00",0,5,3.1,2,310,36.6662,300,"MÁLAGA/AEROPUERTO",1013.9,59,0.4,18.5,1014.7,19.2,20.1,20.3,11.8,22,0
"6155A",-4.482358,"2020-09-27T23:00:00",0,5,5.1,3.7,280,36.6662,280,"MÁLAGA/AEROPUERTO",1014.1,55,0.2,18.4,1014.9,20,20.1,20.6,10.8,1,0
"6155A",-4.482358,"2020-09-28T00:00:00",0,5,6.2,4.3,290,36.6662,290,"MÁLAGA/AEROPUERTO",1014.1,55,0.4,18,1014.9,19.1,19.2,20.1,9.9,1,0
"6155A",-4.482358,"2020-09-28T01:00:00",0,5,5.7,3.9,280,36.6662,290,"MÁLAGA/AEROPUERTO",1013.9,58,0.3,16.9,1014.7,17.8,18,19.1,9.6,1,0
"6155A",-4.482358,"2020-09-28T02:00:00",0,5,6.2,4.2,290,36.6662,290,"MÁLAGA/AEROPUERTO",1013.8,56,0.2,16.9,1014.6,17.9,18,18.7,9,3,0
"6155A",-4.482358,"2020-09-28T03:00:00",0,5,5.7,3.5,280,36.6662,300,"MÁLAGA/AEROPUERTO",1013.9,59,0.3,16.1,1014.7,16.9,17,17.9,8.9,3,0
"6155A",-4.482358,"2020-09-28T04:00:00",0,5,5.1,2.8,290,36.6662,270,"MÁLAGA/AEROPUERTO",1013.8,56,0.2,15.9,1014.6,17.1,17.5,17.7,8.7,2,0
"6155A",-4.482358,"2020-09-28T05:00:00",0,5,4.1,3.3,290,36.6662,300,"MÁLAGA/AEROPUERTO",1014,60,0.2,15.7,1014.8,16.4,16.7,17.8,8.9,6,0
"6155A",-4.482358,"2020-09-28T06:00:00",0,5,4.1,3.5,300,36.6662,300,"MÁLAGA/AEROPUERTO",1014.6,65,0.2,14.9,1015.4,15.3,15.5,16.5,8.9,3,0
"6155A",-4.482358,"2020-09-28T07:00:00",0,5,4.6,3.1,300,36.6662,300,"MÁLAGA/AEROPUERTO",1015.1,64,0.5,15.2,1015.9,14.9,16,16.1,9.2,4,16
"6155A",-4.482358,"2020-09-28T08:00:00",0,5,5.7,3.6,290,36.6662,290,"MÁLAGA/AEROPUERTO",1015.5,52,0.3,19.5,1016.3,16.2,19.4,19.7,9.3,4,60
"6155A",-4.482358,"2020-09-28T09:00:00",0,5,4.6,2.9,280,36.6662,290,"MÁLAGA/AEROPUERTO",1015.6,42,0.2,24.1,1016.4,19.8,23.2,23.5,9.6,12,60
