idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,pres,hr,stdvv,ts,pres_nmar,tamin,ta,tamax,tpr,stddv,inso
6155A,-4.482358,2020-09-28T00:00:00,0,5,3.6,2.4,300,36.6662,300,MÁLAGA/AEROPUERTO,1016.2,65,0.3,17.4,1017,18.3,18.9,19,12.2,2,0
6155A,-4.482358,2020-09-28T01:00:00,0,5,4.6,2.9,290,36.6662,290,MÁLAGA/AEROPUERTO,1016.2,62,0.9,17,1017,17.7,17.8,19.2,10.4,10,0
6155A,-4.482358,2020-09-28T02:00:00,0,5,5.1,3.5,290,36.6662,290,MÁLAGA/AEROPUERTO,1015.9,68,0.3,16.4,1016.7,16.7,16.8,17.9,10.9,5,0
6155A,-4.482358,2020-09-28T03:00:00,0,5,6.7,4.1,280,36.6662,290,MÁLAGA/AEROPUERTO,1015.4,66,0.2,16.4,1016.2,16.4,17.3,17.4,10.9,2,0
6155A,-4.482358,2020-09-28T04:00:00,0,5,7.7,4.6,300,36.6662,290,MÁLAGA/AEROPUERTO,1015.5,69,0.4,15.5,1016.3,15.7,15.9,17.3,10.2,2,0
6155A,-4.482358,2020-09-28T05:00:00,0,5,7.2,5.4,280,36.6662,300,MÁLAGA/AEROPUERTO,1015.7,68,0.3,15.1,1016.5,15.4,15.6,15.8,9.7,1,0
6155A,-4.482358,2020-09-28T06:00:00,0,5,7.2,5.6,290,36.6662,290,MÁLAGA/AEROPUERTO,1016.1,68,0.3,14.7,1016.9,15.1,15.2,16,9.3,1,0
6155A,-4.482358,2020-09-28T07:00:00,0,5,7.2,5.3,280,36.6662,290,MÁLAGA/AEROPUERTO,1016.6,65,0.4,15.5,1017.4,15.3,16.3,16.4,9.7,1,14
6155A,-4.482358,2020-09-28T08:00:00,0,5,6.7,3.9,300,36.6662,290,MÁLAGA/AEROPUERTO,1017,57,0.4,18.8,1017.8,16.3,18.4,18.5,9.7,2,57
6155A,-4.482358,2020-09-28T09:00:00,0,5,5.1,3.4,290,36.6662,300,MÁLAGA/AEROPUERTO,1017.1,48,0.4,23.5,1017.9,18.5,22.6,22.7,11,5,60
6155A,-4.482358,2020-09-28T10:00:00,0,5,6.2,4,80,36.6662,90,MÁLAGA/AEROPUERTO,1017.4,37,0.6,28.3,1018.2,22.8,25.7,25.9,9.9,10,60
6155A,-4.482358,2020-09-28T11:00:00,0,5,5.7,2.5,100,36.6662,80,MÁLAGA/AEROPUERTO,1017.2,36,0.7,30.7,1018,25.7,26.6,26.9,10.3,23,60
6155A,-4.482358,2020-09-28T12:00:00,0,5,6.2,2.9,100,36.6662,80,MÁLAGA/AEROPUERTO,1016.9,38,0.8,32,1017.7,26.1,26.3,26.9,10.9,14,60
6155A,-4.482358,2020-09-28T13:00:00,0,5,5.7,3.2,130,36.6662,140,MÁLAGA/AEROPUERTO,1016.1,39,0.4,33,1016.9,26.1,26.8,26.9,11.7,12,60
6155A,-4.482358,2020-09-28T14:00:00,0,5,6.7,3.7,130,36.6662,80,MÁLAGA/AEROPUERTO,1015.6,38,0.3,33.5,1016.4,26.3,26.5,27.1,11,12,60
6155A,-4.482358,2020-09-28T15:00:00,0,5,7.2,3.9,140,36.6662,120,MÁLAGA/AEROPUERTO,1015.3,41,0.4,31.9,1016.1,26,26.1,26.8,11.8,15,60
