"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","pres","hr","pres_nmar","tamin","ta","tamax","tpr","rviento"
"6156X",-4.48167,"2020-09-27T10:00:00",0,54,8.4,4,271,36.717785,281,"MÁLAGA CMT",1007.5,48,1013.7,22.6,24.8,24.9,13.1,168
"6156X",-4.48167,"2020-09-27T11:00:00",0,54,9.1,4.3,277,36.717785,261,"MÁLAGA CMT",1006.8,46,1013,24.7,26.2,26.2,13.7,154
"6156X",-4.48167,"2020-09-27T12:00:00",0,54,9.5,2.6,293,36.717785,278,"MÁLAGA CMT",1006.4,41,1012.5,26,27.9,28.5,13.5,138
"6156X",-4.48167,"2020-09-27T13:00:00",0,54,8.5,4,233,36.717785,231,"MÁLAGA CMT",1005.6,38,1011.7,27.9,30.4,30.4,14.5,152
"6156X",-4.48167,"2020-09-27T14:00:00",0,54,8.2,4.5,223,36.717785,243,"MÁLAGA CMT",1005.1,35,1011.2,29.8,30.7,30.7,13.5,160
"6156X",-4.48167,"2020-09-27T15:00:00",0,54,6.8,2.3,208,36.717785,227,"MÁLAGA CMT",1005,34,1011.1,30.1,30.6,30.9,13,140
"6156X",-4.48167,"2020-09-27T16:00:00",0,54,6.2,3.2,136,36.717785,131,"MÁLAGA CMT",1005.6,35,1011.7,27.7,28,30.6,11.1,131
"6156X",-4.48167,"2020-09-27T17:00:00",0,54,5.8,2.7,124,36.717785,125,"MÁLAGA CMT",1005.9,37,1012.1,26.8,26.8,28.2,10.9,108
"6156X",-4.48167,"2020-09-27T18:00:00",0,54,4.5,2.1,105,36.717785,137,"MÁLAGA CMT",1006.3,44,1012.5,24.8,24.8,26.8,11.7,93
"6156X",-4.48167,"2020-09-27T19:00:00",0,54,3.1,1.2,84,36.717785,98,"MÁLAGA CMT",1006.9,49,1013.1,23.3,23.3,24.8,12,59
"6156X",-4.48167,"2020-09-27T20:00:00",0,54,3.1,1.4,63,36.717785,37,"MÁLAGA CMT",1007.5,47,1013.8,22.9,23,23.4,11.1,54
"6156X",-4.48167,"2020-09-27T21:00:00",0,54,2.9,1.4,274,36.717785,277,"MÁLAGA CMT",1008.4,65,1014.7,21.4,21.5,23,14.6,52
"6156X",-4.48167,"2020-09-27T22:00:00",0,54,2,0.9,320,36.717785,300,"MÁLAGA CMT",1008.7,55,1015,20.4,20.8,21.5,11.4,29
"6156X",-4.48167,"2020-09-27T23:00:00",0,54,3.2,1.7,253,36.717785,266,"MÁLAGA CMT",1008.8,53,1015.1,19.8,19.9,20.9,10,19
"6156X",-4.48167,"2020-09-28T00:00:00",0,54,3.7,1.9,304,36.717785,298,"MÁLAGA CMT",1008.8,50,1015.1,19.9,20.9,21.2,10,64
"6156X",-4.48167,"2020-09-28T01:00:00",0,54,3.5,0.4,314,36.717785,332,"MÁLAGA CMT",1008.6,50,1014.9,20,20,21.1,9.3,50
"6156X",-4.48167,"2020-09-28T02:00:00",0,54,2.9,1.2,264,36.717785,264,"MÁLAGA CMT",1008.7,56,1015.1,18.2,18.2,20,9.3,42
"6156X",-4.48167,"2020-09-28T03:00:00",0,54,2.7,0.8,307,36.717785,270,"MÁLAGA CMT",1008.7,55,1015.1,18.1,18.3,18.5,9,33
"6156X",-4.48167,"2020-09-28T04:00:00",0,54,1.7,0,0,36.717785,255,"MÁLAGA CMT",1008.8,56,1015.2,17.6,17.7,18.5,8.8,15
"6156X",-4.48167,"2020-09-28T05:00:00",0,54,1.4,0.4,327,36.717785,339,"MÁLAGA CMT",1008.9,61,1015.3,16.7,16.7,17.7,9.2,7
"6156X",-4.48167,"2020-09-28T06:00:00",0,54,1.8,1.1,315,36.717785,327,"MÁLAGA CMT",1009.4,61,1015.8,16.3,16.6,16.8,9,20
"6156X",-4.48167,"2020-09-28T07:00:00",0,54,2.9,1.2,255,36.717785,259,"MÁLAGA CMT",1009.9,61,1016.3,16.2,17.5,17.5,9.9,34
"6156X",-4.48167,"2020-09-28T08:00:00",0,54,3.1,1.3,256,36.717785,260,"MÁLAGA CMT",1010.1,56,1016.4,17.5,20.7,20.7,11.6,39
"6156X",-4.48167,"2020-09-28T09:00:00",0,54,3.3,1.9,251,36.717785,236,"MÁLAGA CMT",1010.2,47,1016.4,20.6,24.2,24.2,12.2,69
