idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,pres,hr,pres_nmar,tamin,ta,tamax,tpr,rviento
6156X,-4.48167,2020-09-28T00:00:00,0,54,1.1,0,293,36.717785,343,MÁLAGA CMT,1011,77,1017.4,18.5,18.7,19.6,14.6,2
6156X,-4.48167,2020-09-28T01:00:00,0,54,1.6,0.1,327,36.717785,337,MÁLAGA CMT,1011,74,1017.4,18.4,18.4,18.8,13.7,5
6156X,-4.48167,2020-09-28T02:00:00,0,54,2.3,0.8,340,36.717785,260,MÁLAGA CMT,1010.8,77,1017.2,17.1,17.4,18.3,13.4,26
6156X,-4.48167,2020-09-28T03:00:00,0,54,3.1,1.5,311,36.717785,325,MÁLAGA CMT,1010.3,67,1016.7,17.4,18.7,18.8,12.4,44
6156X,-4.48167,2020-09-28T04:00:00,0,54,3.3,1.5,317,36.717785,261,MÁLAGA CMT,1010.3,68,1016.7,17.2,18.3,18.7,12.3,48
6156X,-4.48167,2020-09-28T05:00:00,0,54,3.8,1.9,296,36.717785,323,MÁLAGA CMT,1010.5,65,1016.9,17.9,18.1,18.5,11.4,74
6156X,-4.48167,2020-09-28T06:00:00,0,54,4.2,1.6,314,36.717785,309,MÁLAGA CMT,1010.8,65,1017.2,17.2,18,18.1,11.3,63
6156X,-4.48167,2020-09-28T07:00:00,0,54,3.5,1.6,288,36.717785,325,MÁLAGA CMT,1011.3,62,1017.7,17.8,18.3,18.3,10.9,62
6156X,-4.48167,2020-09-28T08:00:00,0,54,2.9,1.7,267,36.717785,253,MÁLAGA CMT,1011.6,58,1017.9,18.4,21.1,21.1,12.5,74
6156X,-4.48167,2020-09-28T09:00:00,0,54,3.2,1.8,245,36.717785,248,MÁLAGA CMT,1011.6,46,1017.8,21.3,24.6,24.6,12.2,77
6156X,-4.48167,2020-09-28T10:00:00,0,54,4.5,2.7,146,36.717785,142,MÁLAGA CMT,1011.7,35,1017.9,24.6,27.4,27.4,10.5,65
6156X,-4.48167,2020-09-28T11:00:00,0,54,5.5,3.2,155,36.717785,141,MÁLAGA CMT,1011.6,35,1017.8,26.5,27.9,27.9,11,116
6156X,-4.48167,2020-09-28T12:00:00,0,54,6.3,3,132,36.717785,131,MÁLAGA CMT,1011.5,35,1017.7,26.5,26.9,27.8,10.2,119
6156X,-4.48167,2020-09-28T13:00:00,0,54,6.1,3.2,113,36.717785,81,MÁLAGA CMT,1010.8,35,1017,26.3,26.6,27.1,9.9,126
6156X,-4.48167,2020-09-28T14:00:00,0,54,6,3.2,130,36.717785,137,MÁLAGA CMT,1010.1,35,1016.3,26.6,27.1,28,10.3,113
6156X,-4.48167,2020-09-28T15:00:00,0,54,5.7,2.4,156,36.717785,160,MÁLAGA CMT,1009.7,35,1015.9,27,27.4,28,10.5,115
