"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","pres","hr","pres_nmar","tamin","ta","tamax","tpr","rviento"
"6172O",-4.41972,"2023-02-26T10:00:00",0,25,9.3,4,294,36.716663,306,"M<U+00C1>LAGA PUERTO",1007.2,50,1010.2,13.9,14.7,15.5,4.3,110
"6172O",-4.41972,"2023-02-26T11:00:00",0,25,9.5,3.5,305,36.716663,287,"M<U+00C1>LAGA PUERTO",1007.1,45,1010.1,14.6,16.2,16.2,4.3,165
"6172O",-4.41972,"2023-02-26T12:00:00",0,25,10,3.5,310,36.716663,279,"M<U+00C1>LAGA PUERTO",1006.6,41,1009.6,15.5,16.9,17.1,3.6,168
"6172O",-4.41972,"2023-02-26T13:00:00",0,25,11.7,4,330,36.716663,316,"M<U+00C1>LAGA PUERTO",1006.1,41,1009.1,15.5,16.7,17.1,3.4,173
"6172O",-4.41972,"2023-02-26T14:00:00",0,25,9.2,3.9,315,36.716663,286,"M<U+00C1>LAGA PUERTO",1005.8,41,1008.8,15.6,16.1,17.3,2.9,142
"6172O",-4.41972,"2023-02-26T15:00:00",0,25,10.4,4.9,304,36.716663,279,"M<U+00C1>LAGA PUERTO",1005.6,42,1008.6,15.6,15.9,16.5,3,164
"6172O",-4.41972,"2023-02-26T16:00:00",0,25,10.5,4.4,297,36.716663,309,"M<U+00C1>LAGA PUERTO",1005.1,42,1008.1,15.8,16.2,16.8,3.2,172
"6172O",-4.41972,"2023-02-26T17:00:00",0,25,8.5,3.7,294,36.716663,296,"M<U+00C1>LAGA PUERTO",1005.1,41,1008.1,15.8,16.2,16.7,2.9,155
"6172O",-4.41972,"2023-02-26T18:00:00",0,25,8.9,2.7,297,36.716663,290,"M<U+00C1>LAGA PUERTO",1005.4,43,1008.4,15.6,15.6,16.3,3,124
"6172O",-4.41972,"2023-02-26T19:00:00",0,25,6.6,2.9,306,36.716663,280,"M<U+00C1>LAGA PUERTO",1006,44,1009,15.1,15.2,15.7,3,90
"6172O",-4.41972,"2023-02-26T20:00:00",0,25,5.4,1.9,288,36.716663,319,"M<U+00C1>LAGA PUERTO",1006.2,46,1009.2,14.7,14.8,15.3,3.2,93
"6172O",-4.41972,"2023-02-26T21:00:00",0,25,4.6,2.4,290,36.716663,297,"M<U+00C1>LAGA PUERTO",1006.5,49,1009.5,14.3,14.4,14.8,3.8,62
"6172O",-4.41972,"2023-02-26T22:00:00",0,25,6.3,3.3,292,36.716663,296,"M<U+00C1>LAGA PUERTO",1006.8,52,1009.8,14.1,14.3,14.5,4.6,101
"6172O",-4.41972,"2023-02-26T23:00:00",0,25,9.1,3,291,36.716663,307,"M<U+00C1>LAGA PUERTO",1007.1,46,1010.1,14,14,14.4,2.5,130
"6172O",-4.41972,"2023-02-27T00:00:00",0,25,6.4,3.3,282,36.716663,260,"M<U+00C1>LAGA PUERTO",1007.3,44,1010.3,13.5,13.5,14,1.5,107
"6172O",-4.41972,"2023-02-27T01:00:00",0,25,6.1,2.9,287,36.716663,263,"M<U+00C1>LAGA PUERTO",1007.6,42,1010.6,13.3,13.4,13.6,0.6,101
"6172O",-4.41972,"2023-02-27T02:00:00",0,25,8.1,4.3,291,36.716663,296,"M<U+00C1>LAGA PUERTO",1007.7,44,1010.7,13.2,13.3,13.5,1.3,131
"6172O",-4.41972,"2023-02-27T03:00:00",0,25,7.4,2.5,318,36.716663,299,"M<U+00C1>LAGA PUERTO",1007.8,46,1010.8,12.5,12.5,13.3,1.3,108
"6172O",-4.41972,"2023-02-27T04:00:00",0,25,4.6,2.4,288,36.716663,289,"M<U+00C1>LAGA PUERTO",1007.6,49,1010.6,12.1,12.2,12.5,1.9,90
"6172O",-4.41972,"2023-02-27T05:00:00",0,25,6.1,2.1,274,36.716663,290,"M<U+00C1>LAGA PUERTO",1007.7,50,1010.7,11.8,11.8,12.1,1.7,89
"6172O",-4.41972,"2023-02-27T06:00:00",0,25,9.4,3.7,298,36.716663,264,"M<U+00C1>LAGA PUERTO",1008.2,49,1011.2,11.7,11.8,12.1,1.5,128
"6172O",-4.41972,"2023-02-27T07:00:00",0,25,8.4,3.4,298,36.716663,292,"M<U+00C1>LAGA PUERTO",1008.9,50,1011.9,11.2,11.2,11.8,1.1,127
"6172O",-4.41972,"2023-02-27T08:00:00",0,25,7.7,3.1,301,36.716663,315,"M<U+00C1>LAGA PUERTO",1009.1,49,1012.1,11.1,11.9,11.9,1.5,135
