"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","02","Nubes altas","0","02","0","02","20","02","20","02","45","02","2020-09-28T00:00:00","08:10","20:05","O","9","02","13"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12n","03","Poco nuboso","0","03","0","03","19","03","19","03","46","03","2020-09-28T00:00:00","08:10","20:05","O","9","03","13"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","04","Despejado","0","04","0","04","19","04","19","04","47","04","2020-09-28T00:00:00","08:10","20:05","NO","2","04","12"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","05","Despejado","0","05","0","05","19","05","19","05","46","05","2020-09-28T00:00:00","08:10","20:05","N","3","05","4"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","06","Despejado","0","06","0","06","19","06","19","06","43","06","2020-09-28T00:00:00","08:10","20:05","NE","2","06","4"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","07","Despejado","0","07","0","07","19","07","19","07","43","07","2020-09-28T00:00:00","08:10","20:05","NO","3","07","4"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","08","Despejado","0","08","0","08","21","08","21","08","40","08","2020-09-28T00:00:00","08:10","20:05","NO","2","08","4"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","22","09","22","09","37","09","2020-09-28T00:00:00","08:10","20:05","NO","1","09","3"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","10","Despejado","0","10","0","10","24","10","24","10","36","10","2020-09-28T00:00:00","08:10","20:05","E","2","10","4"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","11","Despejado","0","11","0","11","24","11","24","11","38","11","2020-09-28T00:00:00","08:10","20:05","SE","4","11","6"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","12","Despejado","0","12","0","12","25","12","25","12","37","12","2020-09-28T00:00:00","08:10","20:05","SE","5","12","8"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","13","Despejado","0","13","0","13","25","13","25","13","35","13","2020-09-28T00:00:00","08:10","20:05","E","6","13","9"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","14","Despejado","0","14","0","14","25","14","25","14","37","14","2020-09-28T00:00:00","08:10","20:05","SE","7","14","10"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12","15","Poco nuboso","0","15","0","15","24","15","24","15","41","15","2020-09-28T00:00:00","08:10","20:05","SE","7","15","10"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","16","Despejado","0","16","0","16","24","16","24","16","46","16","2020-09-28T00:00:00","08:10","20:05","E","5","16","10"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12","17","Poco nuboso","0","17","0","17","23","17","23","17","51","17","2020-09-28T00:00:00","08:10","20:05","E","5","17","8"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12","18","Poco nuboso","0","18","0","18","22","18","22","18","54","18","2020-09-28T00:00:00","08:10","20:05","E","5","18","8"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12","19","Poco nuboso","0","19","0","19","22","19","22","19","57","19","2020-09-28T00:00:00","08:10","20:05","SE","4","19","7"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","20","Nubes altas","0","20","0","20","21","20","21","20","58","20","2020-09-28T00:00:00","08:10","20:05","SE","1","20","6"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","21","Nubes altas","0","21","0","21","22","21","22","21","58","21","2020-09-28T00:00:00","08:10","20:05","O","1","21","3"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","22","Nubes altas","0","22","0","22","23","22","23","22","59","22","2020-09-28T00:00:00","08:10","20:05","NO","2","22","6"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","23","Nubes altas","0","23","0","23","23","23","23","23","63","23","2020-09-28T00:00:00","08:10","20:05","O","3","23","5"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12n","00","Poco nuboso","0","00","0","00","22","00","22","00","65","00","2020-09-29T00:00:00","08:11","20:03","NO","5","00","6"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","01","Nubes altas","0","01","0","01","21","01","21","01","62","01","2020-09-29T00:00:00","08:11","20:03","NO","5","01","7"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12n","02","Poco nuboso","0","02","0","02","21","02","21","02","60","02","2020-09-29T00:00:00","08:11","20:03","NO","5","02","7"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","03","Despejado","0","03","0","03","20","03","20","03","59","03","2020-09-29T00:00:00","08:11","20:03","NO","3","03","7"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12n","04","Poco nuboso","0","04","0","04","20","04","20","04","57","04","2020-09-29T00:00:00","08:11","20:03","NO","5","04","7"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","05","Despejado","0","05","0","05","21","05","21","05","57","05","2020-09-29T00:00:00","08:11","20:03","NO","6","05","9"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","06","Despejado","0","06","0","06","20","06","20","06","59","06","2020-09-29T00:00:00","08:11","20:03","NO","7","06","10"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11n","07","Despejado","0","07","0","07","20","07","20","07","60","07","2020-09-29T00:00:00","08:11","20:03","NO","9","07","13"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","08","Despejado","0","08","0","08","21","08","21","08","53","08","2020-09-29T00:00:00","08:11","20:03","NO","9","08","13"
"2020-09-28T11:37:49","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","23","09","23","09","48","09","2020-09-29T00:00:00","08:11","20:03","O","9","09","13"
