"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","02","Despejado","0","02","0","02","11","02","11","02","80","02","2023-02-27T00:00:00","07:54","19:13","O","15","02","29"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","03","Despejado","0","03","0","03","10","03","10","03","76","03","2023-02-27T00:00:00","07:54","19:13","O","18","03","24"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","04","Despejado","0","04","0","04","10","04","10","04","73","04","2023-02-27T00:00:00","07:54","19:13","O","15","04","24"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","05","Despejado","0","05","0","05","9","05","7","05","73","05","2023-02-27T00:00:00","07:54","19:13","O","16","05","25"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","06","Despejado","0","06","0","06","9","06","7","06","73","06","2023-02-27T00:00:00","07:54","19:13","O","16","06","25"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","07","Despejado","0","07","0","07","8","07","5","07","75","07","2023-02-27T00:00:00","07:54","19:13","O","17","07","26"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","08","Despejado","0","08","0","08","8","08","5","08","77","08","2023-02-27T00:00:00","07:54","19:13","O","17","08","29"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","9","09","6","09","74","09","2023-02-27T00:00:00","07:54","19:13","O","18","09","32"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","10","Despejado","0","10","0","10","10","10","10","10","71","10","2023-02-27T00:00:00","07:54","19:13","O","19","10","31"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","11","Despejado","0","11","0","11","12","11","12","11","65","11","2023-02-27T00:00:00","07:54","19:13","O","18","11","33"
