"","latitud","provincia","altitud","indicativo","nombre","indsinop","longitud","grados_lat","minutos_lat","segundos_lat","orient_lat","latitud_dec","grados_lon","minutos_lon","segundos_lon","orient_lon","longitud_dec"
"1","413515N","BARCELONA","74","0252D","ARENYS DE MAR","08186","023224E",41,35,15,"N",41.5875,2,32,24,"E",2.54
"2","411734N","BARCELONA","4","0076","BARCELONA AEROPUERTO","08181","020412E",41,17,34,"N",41.2927777777778,2,4,12,"E",2.07
"3","412506N","BARCELONA","408","0200E","BARCELONA, FABRA","","020727E",41,25,6,"N",41.4183333333333,2,7,27,"E",2.12416666666667
"4","412326N","BARCELONA","6","0201D","BARCELONA","08180","021200E",41,23,26,"N",41.3905555555556,2,12,0,"E",2.2
"5","414312N","BARCELONA","291","0149X","MANRESA","08174","015025E",41,43,12,"N",41.72,1,50,25,"E",1.84027777777778
"6","413125N","BARCELONA","146","0229I","SABADELL AEROPUERTO","08192","020611E",41,31,25,"N",41.5236111111111,2,6,11,"E",2.10305555555556
"7","413903N","BARCELONA","40","0255B","SANTA SUSANNA","08188","024149E",41,39,3,"N",41.6508333333333,2,41,49,"E",2.69694444444444
"8","415442N","GIRONA","143","0367","GIRONA AEROPUERTO","08184","024548E",41,54,42,"N",41.9116666666667,2,45,48,"E",2.76333333333333
"9","415848N","GIRONA","95","0370B","GIRONA, ANTIC INSTITUT","","024931E",41,58,48,"N",41.98,2,49,31,"E",2.82527777777778
"10","420616N","GIRONA","157","0372C","PORQUERES","08120","024549E",42,6,16,"N",42.1044444444444,2,45,49,"E",2.76361111111111
"11","421129N","GIRONA","675","0324A","RIPOLL","08118","021146E",42,11,29,"N",42.1913888888889,2,11,46,"E",2.19611111111111
"12","410842N","TARRAGONA","71","0016A","REUS AEROPUERTO","08175","010949E",41,8,42,"N",41.145,1,9,49,"E",1.16361111111111
"13","405729N","TARRAGONA","32","0002I","VANDELLÒS  ","08169","005217E",40,57,29,"N",40.9580555555556,0,52,17,"E",0.871388888888889
"14","431825N","A CORUÑA","98","1387E","A CORUÑA AEROPUERTO","08002","082219W",43,18,25,"N",43.3069444444444,8,22,19,"W",-8.37194444444444
"15","432157N","A CORUÑA","58","1387","A CORUÑA","08001","082517W",43,21,57,"N",43.3658333333333,8,25,17,"W",-8.42138888888889
"16","430938N","A CORUÑA","50","1393","CABO VILAN","08006","091239W",43,9,38,"N",43.1605555555556,9,12,39,"W",-9.21083333333333
"17","434710N","A CORUÑA","80","1351","ESTACA DE BARES","08004","074105W",43,47,10,"N",43.7861111111111,7,41,5,"W",-7.68472222222222
"18","425529N","A CORUÑA","230","1400","FISTERRA","08040","091729W",42,55,29,"N",42.9247222222222,9,17,29,"W",-9.29138888888889
"19","424314N","A CORUÑA","685","1437O","MONTE IROITE","08043","085524W",42,43,14,"N",42.7205555555556,8,55,24,"W",-8.92333333333333
"20","424418N","A CORUÑA","100","1473A","PADRÓN","08039","083738W",42,44,18,"N",42.7383333333333,8,37,38,"W",-8.62722222222222
"21","425317N","A CORUÑA","370","1428","SANTIAGO DE COMPOSTELA AEROPUERTO","08042","082438W",42,53,17,"N",42.8880555555556,8,24,38,"W",-8.41055555555556
"22","425234N","A CORUÑA","240","1475X","SANTIAGO DE COMPOSTELA","08041","083321W",42,52,34,"N",42.8761111111111,8,33,21,"W",-8.55583333333333
"23","433401N","ASTURIAS","127","1212E","ASTURIAS AEROPUERTO","08011","060239W",43,34,1,"N",43.5669444444444,6,2,39,"W",-6.04416666666667
"24","433409N","ASTURIAS","60","1283U","CABO BUSTO","08010","062812W",43,34,9,"N",43.5691666666667,6,28,12,"W",-6.47
"25","433921N","ASTURIAS","100","1210X","CABO PEÑAS","08012","055055W",43,39,21,"N",43.6558333333333,5,50,55,"W",-5.84861111111111
"26","433129N","ASTURIAS","40","1331A","CASTROPOL","08009","070153W",43,31,29,"N",43.5247222222222,7,1,53,"W",-7.03138888888889
"27","433123N","ASTURIAS","26","1207U","GIJÓN, CAMPUS","08014","053716W",43,31,23,"N",43.5230555555556,5,37,16,"W",-5.62111111111111
