"","latitud","id_old","url","latitud_dec","altitud","capital","num_hab","zona_comarcal","destacada","nombre","longitud_dec","id","longitud"
"1","40º32'54.450744""","44004","ababuj-id44001","40.54845854","1372","Ababuj","65","624401","0","Ababuj","-0.80780117","44001","-0º48'28.084212"""
"2","40º54'58.824504""","40004","abades-id40001","40.91634014","971","Abades","873","674001","0","Abades","-4.26787389","40001","-4º16'4.346004"""
"3","43º8'51.525564""","48010","abadino-abadino-zelaieta-id48001","43.14764599","144","Abadiño-Zelaieta","7504","754802","0","Abadiño","-2.60687319","48001","-2º36'24.743484"""
"4","40º15'34.315272""","10004","abadia-id10001","40.25953202","451","Abadía","324","701001","0","Abadía","-5.97785806","10001","-5º58'40.289016"""
"5","43º21'46.874736""","27010","abadin-abadin-o-provecende-id27001","43.36302076","515","Abadín o Provecende","2646","712702","0","Abadín","-7.47214495","27001","-7º28'19.72182"""
"6","42º37'23.69766""","09004","abajas-id09001","42.62324935","839","Abajas","29","670902","0","Abajas","-3.58176303","09001","-3º34'54.346908"""
"7","43º2'48.186348""","20010","abaltzisketa-id20001","43.04671843","374","Abaltzisketa","329","752002","0","Abaltzisketa","-2.10562430","20001","-2º6'20.24748"""
"8","38º12'28.401012""","30010","abanilla-id30001","38.20788917","222","Abanilla","6435","733003","0","Abanilla","-1.04259775","30001","-1º2'33.3519"""
"9","41º8'17.648448""","50003","abanto-id50001","41.13823568","929","Abanto","113","625002","0","Abanto","-1.69921759","50001","-1º41'57.183324"""
"10","43º18'38.977164""","48020","abanto-y-ciervana-abanto-zierbena-gallarta-id48002","43.31082699","100","Gallarta","9688","754802","0","Abanto y Ciérvana-Abanto Zierbena","-3.07319265","48002","-3º4'23.49354"""
"11","42º3'48.311352""","34004","abarca-de-campos-id34001","42.06341982","758","Abarca de Campos","42","673402","0","Abarca de Campos","-4.84050594","34001","-4º50'25.821384"""
"12","38º12'9.357984""","30020","abaran-id30002","38.20259944","173","Abarán","13086","733003","0","Abarán","-1.40118044","30002","-1º24'4.249584"""
"13","42º54'14.829984""","31009","abaurregaina-abaurrea-alta-id31003","42.90411944","1056","Abaurregaina/Abaurrea Alta","132","743103","0","Abaurregaina/Abaurrea Alta","-1.20924899","31003","-1º12'33.296364"""
"14","42º54'42.84918""","31012","abaurrepea-abaurrea-baja-id31004","42.91190255","869","Abaurrepea/Abaurrea Baja","38","743103","0","Abaurrepea/Abaurrea Baja","-1.21577352","31004","-1º12'56.784672"""
"15","43º13'40.342368""","15010","abegondo-san-marco-id15001","43.22787288","142","San Marco","5585","711501","0","Abegondo","-8.28854794","15001","-8º17'18.772584"""
"16","41º48'28.54044""","42005","abejar-id42001","41.80792790","1140","Abejar","346","674201","0","Abejar","-2.78291427","42001","-2º46'58.491372"""
"17","39º54'35.734068""","44008","abejuela-id44002","39.90992613","1168","Abejuela","41","624402","0","Abejuela","-0.89343176","44002","-0º53'36.354336"""
"18","42º9'41.116212""","25004","abella-de-la-conca-id25001","42.16142117","954","Abella de la Conca","170","692502","0","Abella de la Conca","1.09177173","25001","1º5'30.378228"""
